222,1775998399103,bird,0.745,"[108,39,174,152]"
223,1775998399254,dog,0.619,"[108,39,173,153]"
223,1775998399254,bird,0.580,"[108,39,173,152]"
224,1775998399255,bird,0.838,"[108,39,174,153]"
225,1775998399256,bird,0.878,"[108,39,173,153]"
839,1775998424822,dog,0.525,"[111,49,224,177]"
854,1775998425451,dog,0.617,"[100,49,228,177]"
905,1775998427565,sheep,0.577,"[18,59,143,141]"
923,1775998428313,cat,0.637,"[21,59,160,150]"
990,1775998431155,cat,0.513,"[36,20,155,157]"
996,1775998431354,cat,0.773,"[40,14,154,157]"
1041,1775998433228,cat,0.523,"[70,24,153,157]"
1051,1775998433650,cat,0.831,"[80,17,172,160]"
1056,1775998433878,cat,0.751,"[86,14,178,168]"
1060,1775998434058,cat,0.756,"[99,15,181,166]"
1061,1775998434065,cat,0.789,"[101,12,184,166]"
1062,1775998434099,cat,0.834,"[103,10,187,167]"
1090,1775998435284,bear,0.556,"[191,16,298,178]"
1113,1775998436238,person,0.613,"[138,166,185,180]"
1139,1775998437364,bird,0.811,"[51,89,244,178]"
1140,1775998437365,bird,0.885,"[50,87,246,178]"
1145,1775998437574,person,0.651,"[54,75,252,178]"
1154,1775998437940,person,0.719,"[55,59,261,178]"
1172,1775998438743,person,0.560,"[73,52,258,177]"
1173,1775998438748,person,0.556,"[73,53,258,177]"
1182,1775998439103,person,0.643,"[73,53,257,177]"
1183,1775998439145,person,0.540,"[73,53,257,177]"
1205,1775998495918,sheep,0.593,"[0,139,28,161]"
1321,1775998500744,dog,0.578,"[111,35,175,153]"
1334,1775998501286,bird,0.924,"[115,28,190,153]"
1345,1775998501745,bird,0.849,"[108,12,206,153]"
1355,1775998502161,bird,0.917,"[113,12,201,153]"
1369,1775998502745,bird,0.871,"[81,15,253,154]"
1369,1775998502745,bird,0.586,"[80,15,199,153]"
1410,1775998504454,bird,0.721,"[108,41,174,152]"
1418,1775998504790,bird,0.779,"[99,36,176,152]"
939,1775998428974,bird,0.503,"[57,14,163,153]"
995,1775998431313,cat,0.744,"[27,20,154,157]"
1048,1775998433523,cat,0.745,"[71,21,167,158]"
1055,1775998433815,cat,0.737,"[85,16,177,164]"
1066,1775998434267,cat,0.785,"[110,21,201,170]"
1069,1775998434426,cat,0.877,"[119,10,217,172]"
1070,1775998434434,cat,0.821,"[122,13,221,174]"
1075,1775998434647,cat,0.787,"[144,22,236,177]"
1137,1775998437264,bird,0.777,"[59,97,238,178]"
1138,1775998437268,person,0.787,"[53,95,241,178]"
1171,1775998438642,person,0.610,"[74,52,258,177]"
1175,1775998438808,person,0.520,"[74,53,259,177]"
1197,1775998495666,sheep,0.622,"[0,142,28,164]"
1198,1775998495666,sheep,0.567,"[0,142,28,165]"
1203,1775998495836,sheep,0.608,"[0,139,28,162]"
1213,1775998496256,sheep,0.603,"[0,137,28,160]"
1226,1775998496796,sheep,0.644,"[0,136,28,160]"
1337,1775998501414,bird,0.917,"[109,15,204,152]"
1342,1775998501621,bird,0.916,"[104,13,206,153]"
1350,1775998501953,bird,0.912,"[113,13,202,153]"
1354,1775998502120,bird,0.925,"[113,12,201,153]"
1359,1775998502328,bird,0.910,"[112,19,201,153]"
1363,1775998502495,bird,0.881,"[91,14,240,154]"
1370,1775998502786,bird,0.862,"[81,15,253,154]"
1370,1775998502786,bird,0.585,"[81,15,199,153]"
1372,1775998502870,bird,0.853,"[81,15,254,154]"
1377,1775998503078,bird,0.773,"[108,35,173,153]"
1384,1775998503390,bird,0.878,"[106,36,174,152]"
1394,1775998503786,dog,0.812,"[106,40,174,153]"
1401,1775998504078,bird,0.601,"[107,41,174,152]"
1406,1775998504289,bird,0.804,"[107,41,174,152]"
1407,1775998504328,bird,0.828,"[108,41,174,152]"
826,1775998424276,dog,0.500,"[103,51,228,176]"
832,1775998424544,dog,0.511,"[102,50,227,177]"
876,1775998426359,dog,0.564,"[100,32,228,178]"
879,1775998426476,dog,0.765,"[100,40,227,178]"
887,1775998426815,dog,0.643,"[99,3,227,177]"
901,1775998427396,cat,0.555,"[28,61,133,140]"
